school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Corindi Public School,127,"372,909","42,381","163,034"
Corndale Public School,56,"25,854","3,991","6,595"
Corowa High School,109,"434,998","-3,552","103,625"
Corowa Public School,112,"411,426","57,586","155,041"
Corowa South Public School,113,"79,320","-6,023","14,816"
Corrimal East Public School,100,"229,661","9,283","63,771"
Corrimal High School,147,"817,270","57,400","190,209"
Corrimal Public School,94,"199,470","24,885","86,004"
Coutts Crossing Public School,154,"225,358","38,466","90,700"
Cowan Public School,68,"49,834","13,951","25,391"
Cowper Public School,108,"67,207","17,331","35,989"
Cowra High School,127,"1,057,997","-19,080","178,807"
Cowra Public School,135,"798,595","14,290","200,551"
Crabbes Creek Public School,70,"38,122","10,570","24,780"
Cranebrook High School,138,"1,556,917","7,224","265,006"
Crawford Public School,148,"1,391,220","119,132","316,660"
Crescent Head Public School,99,"201,661","-18,195","54,717"
Crestwood High School,60,"543,448","35,947","137,968"
Crestwood Public School,17,"525,690","29,689","172,225"
Cringila Public School,176,"545,791","4,270","36,289"
Cromehurst School,6,"63,886","7,681","21,631"
Cromer Public Sc hool,49,"387,458","-3,963","67,699"
Cronulla High School,67,"565,765","120,768","199,709"
Cronulla Public School,52,224.663,43.253,"73,228"
Cronulla South Public School,39,"218,478","31,907","64,818"
Crookwell High School,108,"330,817","41,249",120.872
Crookwell Public School,104,292.636,"18,807","87,027"
Croppa Creek Public School,95,"38,036","-8,134",-5.463
Crossmaglen Public School,111,"26,063",130,"7,699"
Crown Street Public School,19,"290,684","38,841","110,406"
Croydon Park Public School,49,481.533,"24,722","87,415"
Croydon Public School,10,"575,938","79,500","138,949"
Crystal Creek Public School,105,"88,338","-5,589","31,697"
Cudal Public School,77,86.571,"14,284","31,596"
Cudgegong Valley Public School,104,"607,143","94,804","284,114"
Cudgen Public School,84,225.994,"33,882","92,825"
Culburra Public School,119,"396,056","88,990",232.489
Culcairn Public School,106,156.591,32.235,59.226
Cullen Bullen Public School,183,"115,234","9,229","24,530"
Cumberland High School,83,"806,043","10,106","171,610"
Cumnock Public School,115,"101,577","7,531",28.523
Cundletown Public School,124,520.671,"52,955","202,134"
Curl Curl North Public School,28,"442,434","74,647",183.329
Curlewis Public School,192,"191,327","33,404","48,367"
Currabubula Public School,107,"56,953",-1.488,"11,698"
Curran Public School,179,"995,621",56.177,"153,361"
Currans Hill Public School,106,665.842,54.711,"302,720"
Daceyville Public School,49,"349,500",-12.65,93.765
Dalgety Public School,63,34.202,"-5,251","4,033"
Dalmeny Public School,89,"1,149,135","201,839",380.564
Dalton Public School,58,"26,613","4,259",7.921
Dapto High School,110,"1,011,739",55.916,"342,145"
Dapto Public School,102,"636,998","42,804","292,718"
Darcy Road Public School,14,"591,104","-47,997","97,568"
Dareton Public School,226,531.983,"64,002","151,978"
Darlinghurst Public School,3 or less,"239,191","55,260","86,857"
Darlington Point Public School,155,"338,925","26,204","59,048"
Darlington Public School,36,"281,593","22,540","100,110"
Davidson High School,49,"465,456","67,158",153.416
Dawson Public School,149,"877,727","1,938",102.866
Dee Why Public School,91,"582,720",109.425,247.495
Deepwater Public School,177,"69,487","-7,167","13,010"
Delegate Public School,94,"83,159","15,368",29.444
Delungra Public School,150,"99,337",16.965,"29,988"
Deniliquin High School,107,"677,823","51,781","174,404"
Deniliquin North Public School,95,"172,171","39,993","79,929"
Deniliquin South Public School,100,"272,486",20.34,"126,170"
"Denison College of Secondary Education, Bathurst High Campus",96,"1,034.21","155,531",457.225
"Denison College of Secondary Education, Kelso High Campus",116,"1,106,804",69.444,433.838
Denistone East Public School,3 or less,"694,566","88,271","79,027"
Denman Public School,121,"241,948","-31,465","55,076"
Dobroyd Point Public School,3 or less,"143,507","11,983","38,497"
Doonside High School,153,"1,782,499","-11,698","362,438"
Doonside Public School,149,"788,563","117,691","298,675"
Dora Creek Public School,114,"160,239","26,181",78.863
Dorchester School,196,"308,407",107.143,"214,380"
Dorrigo High School,95,"212,697","-30,713","20,874"
Dorrigo Public School,127,"177,420","-10,322","59,546"
Dorroughby Environmental Education Centre,-,"12,891","2,554","8,681"
Double Bay Public School,3 or less,"185,255","4,760","42,003"
DoubtfulCreek Public School,154,"53,862","20,229",32.708
Douglas Park Public School,114,"200,786","18,834","75,525"
Drake Public School,134,"98,731","14,198",7.248
Drummond Memorial Public School,153,"477,824","42,782",125.797
Drummoyne Public School,3 or less,"438,695","37,302","37,864"
Dubbo College Delroy Campus,148,"1,817,235","111,016","527,531"
Dubbo College Senior Campus,111,"790,874","59,431","156,922"
Dubbo College South Campus,111,"1,442,531",182.913,"508,036"
Dubbo North Public School,141,"916,728",74.658,"381,474"
Dubbo Public School,76,478.352,"20,331","135,128"
Dubbo School of Distance Education,131,"925,884","139,438",373.956
Dubbo South Public School,105,"1,127,004","98,046","423,287"
Dubbo West Public School,163,"1,380,911","32,583",396.206
Dudley Public School,44,"149,783","6,420","43,394"
Dulwich High School of Visual Arts and Design,61,"700,115","239,515","279,620"
Dulwich Hill Public School,12,"364,172","11,052",67.466
Dundas Public School,47,"468,130","42,603",74.573
Dundurrabin Public School,132,"75,243","-6,889","7,805"
Dunedoo Central School,121,"439,385","57,805","122,349"
Dungay Public Schoo l,125,87.935,28.868,"58,313"
Dungog High School,114,"962,305","187,156","498,611"
Dungog Public School,109,"424,460","44,079","160,399"
Dungowan Public Sc hool,111,"36,370","-21,068","-12,244"
Dunoon Public School,54,"72,388","19,149","36,090"
Dural Public School,34,"278,279","27,233","83,161"
Duranbah Public School,140,82.212,"8,734","35,078"
Duri Public School,105,"69,559","10,353","25,401"
Durrumbul Public School,34,"31,156","1,759","8,888"
Duval High School,77,"651,927","133,292","259,916"
EA Southee Public School,140,"332,195",-2.234,"78,059"
Eagle Vale High School,154,"1,363,358","37,722",170.55
Earlwood Public School,35,"630,681","150,921","159,181"
East Hills Boys High School,103,"798,517","54,943","328,435"
East Hills Girls Technology High School,86,"754,589",74.656,"237,197"
East Hills Public School,121,"342,433","97,571","198,768"
Eastern Creek Public School,95,"364,951","-10,444","81,324"
Eastlakes Public School,59,"304,790","13,548","33,588"
Eastwood Heights Public School,3 or less,"419,540","81,343","165,565"
Eastwood Public School,3 or less,"753,405","175,854","146,848"
Ebenezer Public School,96,"132,850","7,341",42.765
Ebor Public School,100,"37,095","4,780","-9,042"
Eden Marine High School,118,"997,789","40,433","282,557"
Eden Public School,127,"571,775","13,268","145,000"
Edensor Park Public School,127,"513,976","-3,045","65,775"
Edgeware School,173,"97,142","27,371","45,415"
Edgeworth Heights Public School,113,"477,442","3,170","143,227"
Edgeworth Public School,112,"800,757","-4,054","299,065"
Edward Public School,135,"369,422","-10,289","130,167"
Eglinton Public School,76,"343,161","16,836","91,293"
Elands Public School,135,"42,040","-14,257","-1,400"
Elanora Heights Public School,32,"244,002","20,732","81,557"
Elderslie High School,89,"742,956","151,875","321,999"
Elderslie Public School,86,"364,021","68,090","163,848"
Eleebana Public School,43,"327,482","55,657","148,123"
Elermore Vale Public School,85,"379,769","59,839","116,970"
Elizabeth Macarthur High School,96,"1,017,574","162,531","446,108"
Ellalong Public School,132,238.766,41.133,"110,640"
Ellerston Public School,71,37.333,"1,527","9,249"
Ellison Public School,59,"212,073",681,"55,727"
Eltham Public School,45,"50,605","1,268","11,641"
Emerton Public School,175,"981,203","143,389",195.286
Emmaville Central School,155,"291,747","55,583","99,385"
Empire Bay Public School,81,"314,024","48,512","148,005"
Empire Vale Public School,116,"51,806",456,"18,737"
Emu Heights Public School,86,"249,755","22,544",92.467
Emu Plains Public Sc hool,86,"410,367","56,415","180,848"
Endeavour Sports High School,97,"759,341","29,698","216,831"
Enfield Public School,39,"376,190","31,557","51,132"
Engadine High School,75,"560,188","66,077","205,043"
Engadine Public School,71,275.43,"34,467","123,278"
Engadine West Public School,66,370.476,"11,438","122,622"
Enngonia Public School,159,"233,307","83,244",174.208
Epping Boys High School,19,"715,341","47,687",197.397
Epping Heights Public School,3 or less,"296,094","1,107","78,733"
Epping North Public Sc hool,3 or less,"245,822","49,630","80,377"
Epping Public School,3 or less,"476,382","85,486","119,422"
Epping West Public School,3 or less,"1,053,489","112,652","240,893"
Erina Heights Public School,43,195.753,24.288,"68,089"
Erina High School,100,"609,351","2,928","162,545"
Ermington Public School,31,"375,617","31,652","80,438"
Ermington West Public School,80,"224,987","25,365","76,943"
Erskine Park High Sc hool,111,"1,077,885","59,439","377,722"
Erskineville Public School,3 or less,"260,279","17,619","70,355"
Eschol Park Public School,119,"450,348","-18,500","107,795"
Ettalong Public Sc hool,122,"836,809","76,961","317,571"
Euabalong West Public School,177,"123,455","17,151","35,679"
Euchareena Public School,125,"29,316",-148,"8,483"
Eugowra Public School,134,96.192,"9,481","39,061"
Eumungerie Public School,186,"93,590",9.208,20.995
Eungai Public School,123,"101,170",-7.904,"16,789"
Eureka Public School,46,"32,291","3,583","9,446"
Eurongilly Public School,54,"34,650","4,449","7,531"
Euston Public School,126,"180,921","-30,687","-17,893"
Evans High School,138,"1,577,010","206,758",318.872
Evans River Community School,126,"922,910",#NAME?,"132,153"
Excelsior Public School,18,"477,080","61,337","157,276"
Exeter Public School,41,"90,535","24,781","42,070"
Fairfax Public School,86,37.902,10.91,"25,338"
Fairfield Heights Public School,160,"2,469,184",131.48,"574,931"
Fairfield High School,180,"2,922,836",315.318,"442,819"
Fairfield Public School,172,"2,180,090","321,119","289,315"
Fairfield West Public School,149,"1,968,561","278,842","647,993"
Fairvale High School,157,2.767101,"114,315",227.711
Fairvale Public School,159,"1,897,598","256,828",435.601
Fairy Meadow Public School,93,"457,525","34,268","136,739"
Falls Creek Public School,118,"90,941",15.924,17.154
Farmborough Road Public School,139,"445,872",47.951,"151,314"
Farrer Memorial Agricultural High School,86,"474,501","42,445",165.685
Fassifern Public Sc hool,132,"131,841","21,801","52,831"
Faulconbridge Public School,63,215.436,20.329,"68,274"
Fennell Bay Public School,162,"472,748",48.141,"154,351"
Fern Bay Public School,114,"76,564",40.103,51.939
Ferncour t Public School,3 or less,"264,079",13.264,"56,721"
Fernhill School,137,"103,523","43,580",103.523
Fernleigh Public School,45,"25,818","4,554","7,536"
Field of Mars Environmental Education Centre,-,"16,047","2,629","9,101"
Figtree Heights Public School,38,"150,080","11,196",39.914
Figtree High School,95,"818,704","22,402","286,541"
Figtree Public School,78,237.207,"-11,745","46,469"
Fingal Head Public School,124,"115,183",19.109,"45,281"
Finley High School,107,"518,123","-30,831",106.605
Finley Public School,100,252.773,"-19,778","38,477"
Fisher Road School,59,57.677,"16,823","34,294"
Five Dock Public School,42,"255,156","6,385","57,300"
Five Islands School,165,95.326,"-2,176",23.754
Five Islands Secondary College,177,"1,031.56","-78,485","202,001"
Flinders Public School,94,"505,196","25,428","153,042"
Floraville Public School,77,"376,850",46.843,"150,482"
Forbes High School,132,"969,755","173,719",357.894
Forbes North Public School,137,"780,553",5.208,"138,289"
Forbes Public Sc hool,109,"465,714","25,385","142,320"
Forest Hill Public School,115,"336,165",-2.62,"111,581"
Forest lodge Public School,3 or less,280.522,"43,236","68,598"
Forestville Public School,9,"355,142",33.886,"132,679"
Forster Public School,121,"1,167,857","46,507","394,768"
Fort Street High School,13,"414,390","56,155","160,919"
Fort Street Public School,14,"198,328",24.28,"82,942"
Fowler Road School,177,"142,160",-1.16,"27,152"
Francis Greenway High School,137,"1,434,000","-3,437",191.426
Frank Partridge VC Public School,169,"847,587",115.535,"208,746"
Franklin Public School,135,648.677,"88,269","234,125"
Frederickton Public School,136,"344,055",15.091,95.815
Freemans Reach Public School,111,228.966,"-20,732","69,989"
Frenchs Forest Public School,20,"163,711","18,054","36,681"
G  S  Kidd Memorial School,141,"99,372","18,120",41.329
Gadara School,172,71.257,"4,299","27,649"
Galston High School,77,"464,701",90,"85,839"
Galston Public School,50,"160,617","13,636",49.786
Ganmain Public School,140,88.43,"-7,406","-18,429"
Garah Public School,90,"49,347","3,790","12,794"
Garden Suburb Public School,78,"188,774","1,606","64,385"
Gardeners Road Public School,56,390.691,23.859,119.341
George Bass School,136,"237,509",39.664,"135,100"
Georges Hall Public School,84,"1,101.06",147.95,277.051
Georges River College Hurstville Boys Campus,90,"543,879",18.808,152.535
Georges River College Oatley Senior Campus,87,"1,016,258",269.657,"369,485"
Georges River College Peakhurst Campus,100,"855,059","69,433","280,003"
Georges River College Penshurst Girls Campus,83,669.544,-3.023,213.283
Georges River Environmental Education Centre,-,9.202,"1,405","4,932"
Gerogery Public School,132,"29,333","1,448","2,622"
Gerringong Public School,51,256.672,"6,037","64,385"
Geurie Public School,96,60.262,"3,542","19,185"
Gibberagong Environmental Education Centre,-,"16,047","2,629","9,101"
Gilgai Public School,165,"194,302","13,834","5,543"
Gilgandra High School,129,"648,843","-24,477",32.461
Gilgandra Public School,151,"748,640","40,807","165,273"
Gillieston Public School,132,388.787,"102,992","185,982"
Gillwinga Public School,194,"661,610","33,039","165,396"
Girilambone Public School,149,"51,895",-9.798,"19,904"
Girrakool School,179,"406,803","123,281",193.86
Girraween High School,3 or less,301.252,"31,660",103.487
Girraween Public School,18,"1,110,510","100,494","178,603"
Gladesville Public School,9,"313,247",45.593,"66,987"
Gladstone Public School,139,"106,253","19,617","53,527"
Glebe Public School,69,"334,546","15,210","96,995"
Glen Alice Public School,184,47.971,"8,831","17,949"
Glen Innes High School,114,775.365,"49,039","178,151"
Glen Innes Public School,131,"869,734",30.235,"185,731"
Glen Innes West Infants School,162,"145,858","19,308","55,737"
Glen William Public School,125,"44,321",-3.523,"13,256"
Glenbrook Public School,26,156.917,"21,079","56,517"
Glendale East Public School,121,"398,778","61,843","188,833"
Glendale High School,125,"1,276,514","167,116","395,841"
Glendenning Public School,87,"729,317","151,055","237,363"
Glendore Public School,81,"486,374","37,663","192,727"
Glenfield Park School,192,"174,593","25,509","69,155"
Glenfield Public School,62,"543,817","89,317","157,756"
Glenhaven Public School,32,"215,127","41,979","94,367"
Glenmore Park High School,108,"942,222","31,006","284,011"
Glenmore Park Public School,97,"654,994","51,653","281,475"
Glenmore Road Public School,3 or less,"165,660","17,111","57,411"
Glenorie Public School,71,"189,092","27,620","61,491"
Glenquarry Public School,76,"30,571","1,307","11,902"
Glenreagh Public School,162,"234,226","34,776","88,827"
Glenroi Heights Public School,186,"981,767","42,225","96,309"
Glenroy Public School,142,"509,462","17,356","133,790"
Glenvale School,130,"232,702","30,135","127,613"
Glenwood High School,58,"788,595","42,603","201,446"
Glenwood Public School,88,"358,683","-35,948","12,651"
Glossodia Public School,110,"277,506","-4,046","81,481"
Gloucester High School,116,"502,113","-18,117","68,204"
Gloucester Public School,116,"508,840","68,937","208,375"
Col Col Public School,77,"211,313","10,111","43,321"
Goodooga Central School,191,"347,974","14,587","116,401"
Goolgowi Public School,124,"112,190",-539,"27,088"
Goolma Public School,199,"72,796",354,"18,965"
Goolmangar Public School,94,"24,887","4,402","8,312"
Gooloogong Public School,83,"42,551",12,"7,330"
Goonellabah Public School,149,"939,206","64,123","291,263"
Goonengerry Public School,114,"46,140","9,862","21,914"
Gordon East Public School,3 or less,"213,890","11,221","58,645"
Gordon West Public School,3 or less,"409,421","62,417","149,375"
Gorokan High School,130,"1,743,650","123,643","476,632"
Gorokan Public School,151,"1,376,537","122,858","500,572"
Gosford East Public School,86,"300,516","-12,889","77,954"
Gosford High School,19,"469,731","64,141","201,183"
Gosford Public School,62,"443,497","42,455","121,150"
Goulburn East Public School,99,"175,799","34,174","87,046"
Goulburn High School,120,"962,595","75,067","303,144"
Goulburn North Public School,122,"488,292","113,832","272,046"
Goulburn Public School,157,"519,828","82,346","166,913"
Goulburn South Public School,138,"361,131","57,769","140,190"
Goulburn West Public School,93,"416,797","57,192","189,146"
Governor Philip King Public School,125,"1,144,658","90,128","233,250"
Grafton High School,126,"1,548,771","117,435","505,968"
Grafton Public School,127,"1,135,671","18,508","355,733"
Grahamstown Public School,129,"651,479","11,483","145,806"
Gralee School,191,"81,707","-3,807","12,376"
Granville Boys High School,160,"1,533,675","-40,704","-23,534"
Granville East Public School,138,"1,039,815","30,348","104,364"
Granville Public School,118,"1,192.29","125,330","466,155"
Granville South Creative and Performing Arts High School,169,"1,661,524","13,230","35,775"
Granville South Public School,146,"892,410","135,311","265,514"
Gravesend Public School,89,"63,351","13,742","30,070"
Crays Point Public School,34,"212,513","10,866","76,733"
Great lakes College Forster Campus,114,892.572,"109,951","357,266"
Great lakes College Senior Campus,106,"468,859","49,782",187.708
Great lakes College Tuncurry Campus,114,"771,232","101,040","335,174"
Green Hill Public School,222,"184,770","-13,029",39.298
Green Square School,181,"101,046","-1,082","54,393"
Green Valley Public School,134,"913,255","67,867","296,893"
Creenacre Public School,164,"2,540,671","222,212","982,897"
Creenethorpe Public School,133,"42,240",-6.416,-2.16
Greenway Park Public School,90,"809,603","98,819","285,957"
Greenwell Point Public School,132,"173,148","36,912","89,114"
Greenwich Public School,3 or less,244.203,"55,801","110,735"
Grenfell Public School,102,"345,827",24.684,"114,836"
Cresford Public School,111,"115,092","-9,045","20,741"
Greta Public Sc hool,144,"408,249","-26,814","43,047"
Creystanes High School,108,"1,128.98","94,195","421,230"
Creystanes Public School,42,"622,944",-7.558,"126,294"
Griffith East Public School,102,"655,692","61,297","273,571"
Griffith High Sc hool,136,"1,418.07","144,158","370,636"
Griffith North Public School,104,"540,373","27,082","158,321"
Griffith Public School,168,"1,426,597","18,370","175,356"
Crose View Public School,80,"216,353",27,"49,665"
Guildford Public School,138,"1,464,456",177.534,"403,951"
Guildford West Public School,130,"971,323","71,176","285,303"
Guise Public School,175,"614,692","116,755","265,028"
Culargambone Central School,187,"467,755","39,639","45,267"
Culgong High School,127,"472,684",22.316,"75,068"
Culgong Public School,135,"649,249","52,758","224,176"
Culmarrad Public School,97,"258,380","37,842","100,787"
Cum Flat Public School,90,"42,643","-3,578","15,088"
Cundagai High School,126,"402,796","2,890","35,981"
Cundagai Public School,124,"276,158","-13,865","71,764"
CundagaiSouth Public School,147,"149,854","12,216","41,789"
Cundaroo Public School,25,"77,597","3,929","29,306"
Cunnedah High School,150,"1,426,336","9,283","161,240"
Cunnedah Public School,174,"786,461","185,393",292.886
Cunnedah South Public School,118,"1,179,566","168,349","414,655"
Cunning Public School,78,"83,040","10,098","31,266"
Cuyra CentralSchool,129,"693,165","20,342","151,780"
Cwabegar Public School,168,"49,639","2,302","3,442"
Cwandalan Public School,129,"569,165","87,791","269,938"
Cwynneville Public School,65,"228,188","1,289","43,688"
Cymea Bay Public School,42,"391,515",22.625,"135,718"
Gymea North Public School,72,"233,273","11,735","71,986"
Gymea Technology High Sc hool,68,"448,932","75,947","148,155"
Haberfield Public School,7,"499,511","44,537","78,214"
Halinda School,134,"217,529",36.327,"105,618"
Hallidays Point Public School,78,200.789,10.159,"46,185"
Hambledon Public School,63,"513,309","51,992","101,821"
Hamilton North Public School,69,"108,087","-10,909","18,146"
Hamilton Public School,43,"194,164","7,459",37.725
Hamilton South Public School,14,"230,550","24,364","84,741"
Hammondville Public School,88,"449,552","63,257","163,653"
Hampden Park Public School,94,"1,197,679","-79,336","223,335"
Hampton Public School,60,"25,602","-6,885","-5,120"
Hannam Vale Public School,71,"25,039","-1,536","3,973"
Hannans Road Public School,138,435.842,29.389,84.074
Hanwood Public School,90,"288,136","7,139","84,636"
Harbord Public School,10,"540,871","67,801","225,639"
Harcourt Public School,66,"769,811","-10,332",19.605
Hargraves Public School,180,"89,390","9,053","-3,714"
Harrington Park Public School,75,"568,641","61,162","215,669"
Harrington Public School,146,249.994,"11,182","90,595"
Harrington Street Public School,119,"1,757.48",105.01,"398,893"
Harwood Island Public School,119,97.266,"16,699","48,358"
Hassall Grove Public School,109,"960,942","49,560",359.692
Hastings Public School,73,440.374,"77,755",185.623
"Hastings Secondary College, Port Macquarie Campus",103,"754,082","63,865","264,944"
"Hastings Secondary College, Westport Campus",122,792.907,"-6,380","184,439"
Havenlee School,161,"166,846",34.206,"106,126"
Hawkesbury High Sc hool,116,649.323,"27,490","207,038"
Hay Public School,127,496.49,"51,622","131,671"
Hay War Memorial High School,118,"479,817",26.248,"29,000"
Hayes Park Public School,112,"612,391","49,429","256,209"
Hazelbrook Public School,73,335.033,48.478,"106,856"
Heathcote East Public School,73,"97,573","19,797","49,236"
Heathcote High School,88,"535,347","48,276","160,672"
Heathcote Public Sc hool,63,"216,854",34.635,87.908
Heaton Public School,105,"322,626",94.921,"168,506"
Hebersham Public Sc hool,148,"1,900,619","155,828",494.896
Heckenberg Public Sc hool,182,"772,605","11,728",44.013
Helensburgh Public Sc hool,70,343.364,"47,178","125,988"
Henry Fulton Public School,88,"334,511","29,110","143,618"
Henry Kendall High School,93,"628,637","55,850",208.023
Henty Public School,112,"169,852",61.634,104.86
Hermidale Public School,110,48.707,"11,042","29,588"
Hemani Public School,119,"46,161",18.984,"32,111"
Herons Creek Public School,107,"64,601","7,836",36.393
Highlands School,167,"98,852","-4,422",41.576
Hill End Public School,101,"31,173",-2.449,"7,401"
Hill Top Public School,128,"255,391",-38.863,"56,492"
Hillsborough Public School,73,"207,292","24,478","70,338"
Hillside Public School,97,"28,310","1,817","3,698"
Hillston CentralSchool,128,"469,940","-25,160","21,470"
Hilltop Road Public School,115,"1,314,829","66,450","394,089"
Hillvue Public School,205,"1,595,726","-33,734","319,292"
Hinchinbrook Public School,122,"1,033,907","132,002","390,293"
Hinton Public School,97,"77,726","-1,994","21,156"
Hobartville Public School,117,"484,373","-28,043","116,055"
Holbrook Public School,79,"148,307","3,045","24,549"
Holgate Public School,28,"94,660","-7,651","11,162"
Holman Place School,157,"81,725","12,120","39,974"
Holmwood Public School,129,"94,066","15,944","44,389"
Holroyd High School,164,"2,127,052","262,762","457,710"
Holroyd School,141,"449,520","12,923","91,705"
Holsworthy High School,101,"702,590","113,474","281,694"
Holsworthy Public School,31,"462,441","23,384","114,637"
Homebush Boys High School,57,"1,135,072","254,900","271,802"
Homebush Public School,35,"696,100","80,206","325,971"
Homebush West Public School,41,"772,916","118,634","197,284"
Hope Town School,176,"172,331","21,810","51,558"
Hornsby Girls High School,3 or less,"297,399","43,330","132,800"
Hornsby Heights Public School,27,"274,901","48,364","107,687"
Hornsby North Public School,9,"520,148","-18,253","102,038"
Hornsby South Public School,7,"564,374","58,191","154,542"
Horsley Park Public School,130,"213,074","29,431","85,565"
Howlong Public School,91,"217,447","3,435","55,125"
Hoxton Park High School,137,"1,429,520","122,220","407,006"
Hoxton Park Public School,105,"826,349","-6,621","162,760"
Hume Public School,169,"773,196","75,814","288,722"
Humula Public School,123,"43,626","-4,838","6,645"
Hunter River Community School,151,"158,013","17,746","81,512"
Hunter River High School,137,"1,660,433","205,266","544,962"
Hunter School of Performing Arts,40,"518,812","82,602","176,281"
Hunter Sports High School,133,"1,478,892","38,897","309,063"
Hunters Hill High School,39,"472,708","56,311","121,324"
Hunters Hill Public School,3 or less,"203,948","44,910","79,605"
Huntingdon Public School,110,"65,187","-18,328","9,891"
Hurlstone Agricultural High School,44,"393,481","52,506","126,759"
Hurstville Grove Infants School,34,"71,439","7,610",-215
Hurstville Public School,39,"1,252,538","90,559","266,481"
Hurstville South Public School,48,"629,054","80,261","240,824"
Huskisson Public School,95,"163,062","49,305","103,597"
llford Public School,123,"75,801","25,175","43,315"
lllabo Public School,49,"38,271",200,"11,345"
lllaroo Road Public School,83,"403,818","11,240","113,227"
lllawarra Environmental Education Centre,-,"16,694","3,276","10,395"
lllawarra HospitalSchool,100,"14,176","2,222","10,095"
lllawarra Sports High School,145,"1,502,141","4,163","299,556"
lllawong Public School,55,"168,268","28,128","36,394"
lluka Public School,125,"212,015","45,813","98,159"
lnduna School,197,"203,150","-7,959","32,161"
lngleburn High School,124,"1,147,971","80,371","329,560"
lngleburn Public School,92,"763,885","-1,758","171,775"
lnverell High School,122,"1,166,980","87,997","269,089"
lnverell Public School,132,"1,051,230","109,554","258,851"
Iona Public School,59,"37,462","1,605","10,447"
lronbark Ridge Public School,21,"444,664","80,823","184,070"
lrrawang High School,137,"1,406,713","61,928","294,417"
lrrawang Public School,177,"1,319,873","172,864","331,576"
Islington Public School,121,"287,223","-9,369","51,347"
Ivanhoe Central School,141,"224,371","74,665","93,755"
J J Cahill Memorial High School,111,"452,044","11,636","86,733"
Jamberoo Public School,38,"88,915","28,160","44,961"
James Busby High School,162,"2,200,327","202,654","302,724"
James Cook Boys High School,113,"434,419","53,262","103,307"
James Erskine Public School,102,"599,008","23,922","203,664"
James Fallon High School,129,"1,445,928","238,495","579,696"
James Meehan High School,171,"999,604","-31,784","-61,567"
James Ruse Agricultural High School,3 or less,"314,753","36,313","97,328"
Jamison High Sc hool,111,"1,162,567","88,168","422,503"
Jamisontown Public Sc hool,106,"364,498","17,943","156,204"
Jannali East Public School,43,"223,945","28,777","76,591"
Jannali Public School,59,"111,382","31,542","69,126"
Jasper Road Public Sc hool,20,"728,671","125,239","232,530"
Jennings Public School,151,"49,741","-10,856","-11,378"
Jerangle Public Sc hool,62,"30,686","4,402","7,884"
Jerilderie Public School,96,"61,452","-5,021","2,554"
Jerrabomberra Public School,37,"478,575","77,284","197,367"
Jerrys Plains Public School,149,"127,473","22,563","49,765"
Jesmond Public School,129,"524,318","193,336","260,800"
Jewells Primary School,83,"326,819","12,101","104,643"
Jiggi Public School,91,"59,884","24,016","41,410"
Jilliby Public School,114,"110,838","1,101","37,539"
Jindabyne Central School,63,"675,931","98,013","224,701"
Jindera Public School,96,"189,610","-11,616","55,573"
John Brotchie Nursery School,34,"12,213",878,"5,464"
John Edmondson High Sc hool,108,"1,388,247","214,546","629,600"
John Hunter Hospital School,100,"21,863",273,"13,927"
John Palmer Public School,24,"522,088","86,646","196,549"
John Purchase Public School,3 or less,"390,649","52,242","107,993"
JohnWarby Public School,180,"910,267","55,131","172,704"
Johns River Public School,166,"48,394","-6,452","12,052"
Jugiong Public School,57,"42,053","8,322","13,052"
Junee High School,136,"478,122","-39,891","-32,099"
Junee North Public School,127,"294,883","-14,025","61,821"
Junee Public Sc hool,152,"377,897","43,786","116,105"
Kahibah Public School,62,"212,688","24,571","75,841"
Kalinda School,159,"125,207","13,168","63,901"
Kambora Public School,24,"122,587","24,357","47,564"
Kanahooka High School,139,"1,246,011","79,914","277,305"
Kandeer School,204,"89,153","14,334","50,144"
Kandos High School,128,"487,928","61,599","159,503"
Kandos Public School,149,"394,451","-21,090","40,014"
Kanga loon Public School,54,"28,768","1,374","8,078"
Kangaroo Valley Public School,42,"52,343","-6,908","5,578"
Kanwal Public Sc hool,120,"936,115","97,053","396,468"
Kapooka Public School,100,"89,073","8,202","47,248"
Karabar High School,89,"1,270,640","175,518","300,334"
Karangi Public School,70,"112,425","15,008","36,928"
Kareela Public School,24,"232,269","37,583","86,101"
Kariong Mountains High School,103,"554,170","21,403","174,233"
Kariong Public School,95,"452,181","-7,925","150,852"
Karningul School,175,"55,556",29,"23,334"
Karonga School,67,"107,987","21,661","36,844"
Karuah Public School,149,"305,737","-12,480","55,511"
Katoomba High Sc hool,79,"570,618","44,190","173,014"
Katoomba North Public School,112,"219,342","-30,707","38,797"
Katoomba Public School,60,"211,560","18,862","64,449"
Kearns Public School,109,"305,077","27,799","91,732"
Kearsley Public School,159,"420,107","58,094","146,068"
Kegworth Public School,14,"220,240","9,500","73,152"
Keira High School,104,"1,212,059","-4,670","416,086"
Keiraville Public School,25,"287,936","14,727","95,157"
Kellys Plains Public Sc hool,32,"38,982","-10,274","1,463"
Kellyville High School,57,"648,535","93,248","211,169"
Kellyville Public School,39,"648,621","138,783","246,132"
Kellyville Ridge Public School,28,"758,503","63,971","152,508"
Kelso Public School,153,"870,157","-48,528","44,916"
